"","Virus.name","Lineage","Accession.ID","Collection.date","Location","Host","Passage","Specimen","Additional.host.information","Sequencing.technology","Assembly.method","Sequence.Length","Comment","Comment.type","Submission.date","FU","TAT","Year","Month","MMWR.MMWRyear","MMWR.MMWRweek","MMWR.MMWRday","epi_year","epi_week","EW","Virus"
"21","hzikav/brazil/un-usamriid-17cs/2016","asian","epi_isl_18002843",2016-05-10,"south america / brazil","human","original","semen",NA,"illumina","bowtie2 v. 2.1.6",10752,NA,NA,2018-09-07,NA, 850,2016, 5,2016,  19,   3,2016,19,201619,"Zika"
"22","hzikav/brazil/un-usamriid-17au/2016","asian","epi_isl_18002844",2016-04-26,"south america / brazil","human","original","urine",NA,"illumina","bowtie2 v. 2.1.6",10752,NA,NA,2018-09-07,NA, 864,2016, 4,2016,  17,   3,2016,17,201617,"Zika"
"23","hzikav/brazil/un-usamriid-17bs/2016","asian","epi_isl_18002845",2016-05-03,"south america / brazil","human","original","semen",NA,"illumina","bowtie2 v. 2.1.6",10752,NA,NA,2018-09-07,NA, 857,2016, 5,2016,  18,   3,2016,18,201618,"Zika"
"24","hzikav/brazil/un-usamriid-19cs/2016","asian","epi_isl_18002846",2016-05-19,"south america / brazil","human","original","semen",NA,"illumina","bowtie2 v. 2.1.6",10791,NA,NA,2018-09-07,NA, 841,2016, 5,2016,  20,   5,2016,20,201620,"Zika"
"25","hzikav/brazil/un-usamriid-19ds/2016","asian","epi_isl_18002847",2016-05-24,"south america / brazil","human","original","semen",NA,"illumina","bowtie2 v. 2.1.6",10791,NA,NA,2018-09-07,NA, 836,2016, 5,2016,  21,   3,2016,21,201621,"Zika"
"26","hzikav/brazil/un-usamriid-19es/2016","asian","epi_isl_18002848",2016-06-02,"south america / brazil","human","original","semen",NA,"illumina","bowtie2 v. 2.1.6",10752,NA,NA,2018-09-07,NA, 827,2016, 6,2016,  22,   5,2016,22,201622,"Zika"
"27","hzikav/brazil/un-usamriid-19ur/2016","asian","epi_isl_18002856",2016-04-30,"south america / brazil","human","original","urine",NA,"illumina","bowtie2 v. 2.1.6",10783,"gap of 1 nucleotides when compared to the reference sequence.","info",2018-09-07,NA, 860,2016, 4,2016,  17,   7,2016,17,201617,"Zika"
"28","hzikav/brazil/un-usamriid-19fs/2016","asian","epi_isl_18002858",2016-06-09,"south america / brazil","human","original","semen",NA,"illumina","bowtie2 v. 2.1.6",10782,NA,NA,2018-09-07,NA, 820,2016, 6,2016,  23,   5,2016,23,201623,"Zika"
"29","hzikav/brazil/un-ucsf-08/2015","asian","epi_isl_18002896",2015-07-15,"south america / brazil","human","original",NA,NA,"illumina","surpi+ v. v1.0; geneious v. v8.0",10551,"stretches of nnns (16.13% of overall sequence).","warn",2016-03-18,NA, 247,2015, 7,2015,  28,   4,2015,28,201528,"Zika"
"30","hzikav/brazil/un-ucsf-09/2015","asian","epi_isl_18002899",2015-08-01,"south america / brazil","human","original",NA,NA,"illumina","surpi+ v. v1.0; geneious v. v8.0",10525,NA,NA,2016-03-18,NA, 230,2015, 8,2015,  30,   7,2015,30,201530,"Zika"
"31","hzikav/brazil/un-ucsf-07/2015","asian","epi_isl_18002909",2015-07-01,"south america / brazil","human","original",NA,NA,"illumina","surpi+ v. v1.0; geneious v. v8.0",10676,"gap of 1 nucleotides when compared to the reference sequence.","info",2016-03-18,NA, 261,2015, 7,2015,  26,   4,2015,26,201526,"Zika"
"32","hzikav/brazil/un-uw-brazil/2016","asian","epi_isl_18002917",2016-06-14,"south america / brazil","human","vero",NA,NA,"illumina","trinity v. 2.1.0",10766,NA,NA,2016-09-01,NA,  79,2016, 6,2016,  24,   3,2016,24,201624,"Zika"
"33","hzikav/brazil/am-fiocruz-16800005/2016","asian","epi_isl_18002953",2016-01-08,"south america / brazil / amazonas / manaus","human","original","plasma",NA,"unknown",NA,10731,NA,NA,2017-02-17,"amazonas", 406,2016, 1,2016,   1,   6,2016, 1,201601,"Zika"
"34","hzikav/brazil/am-fiocruz-049/2016","asian","epi_isl_18002961",2016-02-10,"south america / brazil / amazonas / manaus","human","original","serum",NA,"unknown",NA, 9703,NA,NA,2018-11-26,"amazonas",1020,2016, 2,2016,   6,   4,2016, 6,201606,"Zika"
"35","hzikav/brazil/am-fiocruz-052/2016","asian","epi_isl_18002962",2016-02-02,"south america / brazil / amazonas / manaus","human","original","serum",NA,"unknown",NA, 9421,"long stretches of nnns (34.65% of overall sequence). ns2b without blast coverage. partial ns5 gene sequence is reported.","alert",2018-11-26,"amazonas",1028,2016, 2,2016,   5,   3,2016, 5,201605,"Zika"
"36","hzikav/brazil/am-fiocruz-050/2016","asian","epi_isl_18002963",2016-02-10,"south america / brazil / amazonas / manaus","human","original","serum",NA,"unknown",NA, 9703,"stretches of nnns (10.00% of overall sequence).","warn",2018-11-26,"amazonas",1020,2016, 2,2016,   6,   4,2016, 6,201606,"Zika"
"37","hzikav/brazil/am-fiocruz-051/2016","asian","epi_isl_18002964",2016-01-25,"south america / brazil / amazonas / manaus","human","original","serum",NA,"unknown",NA, 9703,"stretches of nnns (16.83% of overall sequence).","warn",2018-11-26,"amazonas",1036,2016, 1,2016,   4,   2,2016, 4,201604,"Zika"
"38","hzikav/brazil/am-fiocruz-070/2016","asian","epi_isl_18002965",2016-01-29,"south america / brazil / amazonas / manaus","human","original","serum",NA,"unknown",NA, 8821,"stretches of nnns (8.80% of overall sequence). partial ns5 gene sequence is reported.","warn",2018-11-26,"amazonas",1032,2016, 1,2016,   4,   6,2016, 4,201604,"Zika"
"39","hzikav/brazil/am-fiocruz-067/2016","asian","epi_isl_18002966",2016-01-05,"south america / brazil / amazonas / manaus","human","original","serum",NA,"unknown",NA, 9421,"long stretches of nnns (25.19% of overall sequence). prm without blast coverage. partial ns5 gene sequence is reported.","alert",2018-11-26,"amazonas",1056,2016, 1,2016,   1,   3,2016, 1,201601,"Zika"
"40","hzikav/brazil/am-fiocruz-053/2016","asian","epi_isl_18002967",2016-01-25,"south america / brazil / amazonas / manaus","human","original","urine",NA,"unknown",NA, 9703,NA,NA,2018-11-26,"amazonas",1036,2016, 1,2016,   4,   2,2016, 4,201604,"Zika"
"41","hzikav/brazil/am-fiocruz-066/2016","asian","epi_isl_18002968",2016-01-23,"south america / brazil / amazonas / manaus","human","original","serum",NA,"unknown",NA, 9421,"partial ns5 gene sequence is reported.",NA,2018-11-26,"amazonas",1038,2016, 1,2016,   3,   7,2016, 3,201603,"Zika"
"42","hzikav/brazil/am-fiocruz-065/2016","asian","epi_isl_18002969",2016-01-30,"south america / brazil / amazonas / manaus","human","original","serum",NA,"unknown",NA,10338,NA,NA,2018-11-26,"amazonas",1031,2016, 1,2016,   4,   7,2016, 4,201604,"Zika"
"43","hzikav/brazil/am-fiocruz-058/2016","asian","epi_isl_18002970",2016-01-20,"south america / brazil / amazonas / manaus","human","original","serum",NA,"unknown",NA, 9703,"stretches of nnns (6.62% of overall sequence).","warn",2018-11-26,"amazonas",1041,2016, 1,2016,   3,   4,2016, 3,201603,"Zika"
"44","hzikav/brazil/am-fiocruz-057/2016","asian","epi_isl_18002971",2016-01-14,"south america / brazil / amazonas / manaus","human","original","serum",NA,"unknown",NA, 9421,"partial ns5 gene sequence is reported.",NA,2018-11-26,"amazonas",1047,2016, 1,2016,   2,   5,2016, 2,201602,"Zika"
"45","hzikav/brazil/am-fiocruz-062/2016","asian","epi_isl_18002972",2016-01-25,"south america / brazil / amazonas / manaus","human","original","serum",NA,"unknown",NA,10269,"stretches of nnns (5.77% of overall sequence).","warn",2018-11-26,"amazonas",1036,2016, 1,2016,   4,   2,2016, 4,201604,"Zika"
"46","hzikav/brazil/am-fiocruz-059/2016","asian","epi_isl_18002973",2016-01-14,"south america / brazil / amazonas / manaus","human","original","serum",NA,"unknown",NA, 8821,"long stretches of nnns (44.36% of overall sequence). ns2b without blast coverage. partial ns5 gene sequence is reported.","alert",2018-11-26,"amazonas",1047,2016, 1,2016,   2,   5,2016, 2,201602,"Zika"
"47","hzikav/brazil/am-fiocruz-055/2016","asian","epi_isl_18002974",2016-01-26,"south america / brazil / amazonas / manaus","human","original","serum",NA,"unknown",NA, 8803,"stretches of nnns (12.67% of overall sequence). partial c gene sequence is reported. partial ns5 gene sequence is reported.","warn",2018-11-26,"amazonas",1035,2016, 1,2016,   4,   3,2016, 4,201604,"Zika"
"48","hzikav/brazil/am-fiocruz-061/2015","asian","epi_isl_18002975",2015-12-16,"south america / brazil / amazonas / manaus","human","original","serum",NA,"unknown",NA, 9421,"long stretches of nnns (39.36% of overall sequence). partial ns5 gene sequence is reported.","alert",2018-11-26,"amazonas",1076,2015,12,2015,  50,   4,2015,50,201550,"Zika"
"49","hzikav/brazil/am-fiocruz-082/2017","asian","epi_isl_18002976",2017-03-24,"south america / brazil / amazonas / manaus","human","original","plasma",NA,"unknown",NA, 9703,"stretches of nnns (18.18% of overall sequence). 2k without blast coverage. ns4a without blast coverage.","warn",2018-11-26,"amazonas", 612,2017, 3,2017,  12,   6,2017,12,201712,"Zika"
"50","hzikav/brazil/am-fiocruz-027/2016","asian","epi_isl_18002977",2016-02-15,"south america / brazil / amazonas / manaus","human","original","plasma",NA,"unknown",NA, 9703,"stretches of nnns (17.15% of overall sequence).","warn",2018-11-26,"amazonas",1015,2016, 2,2016,   7,   2,2016, 7,201607,"Zika"
"51","hzikav/brazil/am-fiocruz-080/2017","asian","epi_isl_18002978",2017-03-22,"south america / brazil / amazonas / manaus","human","original","serum",NA,"unknown",NA, 8803,"long stretches of nnns (37.24% of overall sequence). partial c gene sequence is reported. partial ns5 gene sequence is reported.","alert",2018-11-26,"amazonas", 614,2017, 3,2017,  12,   4,2017,12,201712,"Zika"
"52","hzikav/brazil/am-fiocruz-026/2016","asian","epi_isl_18002979",2016-02-11,"south america / brazil / amazonas / manaus","human","original","plasma",NA,"unknown",NA, 5788,"long stretches of nnns (44.26% of overall sequence). c without blast coverage. ns2b without blast coverage. ns5 without blast coverage. prm without blast coverage. partial e gene sequence is reported. partial ns5 gene sequence is reported.","alert",2018-11-26,"amazonas",1019,2016, 2,2016,   6,   5,2016, 6,201606,"Zika"
"53","hzikav/brazil/am-fiocruz-024/2017","asian","epi_isl_18002980",2017-04-27,"south america / brazil / amazonas / manaus","human","original","plasma",NA,"unknown",NA, 7287,"long stretches of nnns (46.88% of overall sequence). c without blast coverage. ns2b without blast coverage. prm without blast coverage. partial e gene sequence is reported. partial ns5 gene sequence is reported.","alert",2018-11-26,"amazonas", 578,2017, 4,2017,  17,   5,2017,17,201717,"Zika"
"54","hzikav/brazil/am-fiocruz-023/2017","asian","epi_isl_18002981",2017-04-26,"south america / brazil / amazonas / manaus","human","original","saliva",NA,"unknown",NA, 3077,"long stretches of nnns (31.07% of overall sequence). ns4a without blast coverage. ns2b without blast coverage. prm without blast coverage. ns4b without blast coverage. ns3 without blast coverage. 2k without blast coverage. c without blast coverage. ns5 without blast coverage.","alert",2018-11-26,"amazonas", 579,2017, 4,2017,  17,   4,2017,17,201717,"Zika"
"55","hzikav/brazil/am-fiocruz-022/2016","asian","epi_isl_18002982",2016-05-16,"south america / brazil / amazonas / manaus","human","original","plasma",NA,"unknown",NA,10338,"stretches of nnns (8.49% of overall sequence).","warn",2018-11-26,"amazonas", 924,2016, 5,2016,  20,   2,2016,20,201620,"Zika"
"56","hzikav/brazil/am-fiocruz-021/2016","asian","epi_isl_18002983",2016-04-25,"south america / brazil / amazonas / manaus","human","original","plasma",NA,"unknown",NA,10338,"stretches of nnns (6.45% of overall sequence).","warn",2018-11-26,"amazonas", 945,2016, 4,2016,  17,   2,2016,17,201617,"Zika"
"57","hzikav/brazil/am-fiocruz-020/2016","asian","epi_isl_18002984",2016-04-26,"south america / brazil / amazonas / manaus","human","original","plasma",NA,"unknown",NA,10338,NA,NA,2018-11-26,"amazonas", 944,2016, 4,2016,  17,   3,2016,17,201617,"Zika"
"58","hzikav/brazil/am-fiocruz-019/2016","asian","epi_isl_18002985",2016-04-08,"south america / brazil / amazonas / manaus","human","original","plasma",NA,"unknown",NA,10338,"stretches of nnns (5.95% of overall sequence).","warn",2018-11-26,"amazonas", 962,2016, 4,2016,  14,   6,2016,14,201614,"Zika"
"59","hzikav/brazil/am-fiocruz-016/2016","asian","epi_isl_18002986",2016-04-05,"south america / brazil / amazonas / manaus","human","original","plasma",NA,"unknown",NA,10338,"stretches of nnns (13.76% of overall sequence).","warn",2018-11-26,"amazonas", 965,2016, 4,2016,  14,   3,2016,14,201614,"Zika"
"60","hzikav/brazil/am-fiocruz-015/2016","asian","epi_isl_18002987",2016-04-05,"south america / brazil / amazonas / manaus","human","original","plasma",NA,"unknown",NA, 8821,"stretches of nnns (17.61% of overall sequence). partial ns5 gene sequence is reported.","warn",2018-11-26,"amazonas", 965,2016, 4,2016,  14,   3,2016,14,201614,"Zika"
"61","hzikav/brazil/am-fiocruz-032/2016","asian","epi_isl_18002988",2016-04-05,"south america / brazil / amazonas / manaus","human","original","plasma",NA,"unknown",NA, 9421,"long stretches of nnns (34.62% of overall sequence). ns2b without blast coverage. partial ns5 gene sequence is reported.","alert",2018-11-26,"amazonas", 965,2016, 4,2016,  14,   3,2016,14,201614,"Zika"
"62","hzikav/brazil/am-fiocruz-036/2016","asian","epi_isl_18002989",2016-03-01,"south america / brazil / amazonas / manaus","human","original","plasma",NA,"unknown",NA, 9421,"long stretches of nnns (34.64% of overall sequence). ns2b without blast coverage. partial ns5 gene sequence is reported.","alert",2018-11-26,"amazonas",1000,2016, 3,2016,   9,   3,2016, 9,201609,"Zika"
"63","hzikav/brazil/am-fiocruz-035/2016","asian","epi_isl_18002990",2016-02-29,"south america / brazil / amazonas / manaus","human","original","plasma",NA,"unknown",NA, 9421,"long stretches of nnns (28.25% of overall sequence). partial ns5 gene sequence is reported.","alert",2018-11-26,"amazonas",1001,2016, 2,2016,   9,   2,2016, 9,201609,"Zika"
"64","hzikav/brazil/am-fiocruz-038/2016","asian","epi_isl_18002991",2016-03-02,"south america / brazil / amazonas / manaus","human","original","plasma",NA,"unknown",NA, 9421,"long stretches of nnns (34.60% of overall sequence). ns2b without blast coverage. partial ns5 gene sequence is reported.","alert",2018-11-26,"amazonas", 999,2016, 3,2016,   9,   4,2016, 9,201609,"Zika"
"65","hzikav/brazil/am-fiocruz-037/2016","asian","epi_isl_18002992",2016-03-01,"south america / brazil / amazonas / manaus","human","original","plasma",NA,"unknown",NA, 9703,"stretches of nnns (19.26% of overall sequence). 2k without blast coverage.","warn",2018-11-26,"amazonas",1000,2016, 3,2016,   9,   3,2016, 9,201609,"Zika"
"66","hzikav/brazil/am-fiocruz-048/2016","asian","epi_isl_18002993",2016-02-02,"south america / brazil / amazonas / manaus","human","original","serum",NA,"unknown",NA, 9703,NA,NA,2018-11-26,"amazonas",1028,2016, 2,2016,   5,   3,2016, 5,201605,"Zika"
"67","hzikav/brazil/am-fiocruz-041/2016","asian","epi_isl_18002994",2016-02-03,"south america / brazil / amazonas / manaus","human","original","serum",NA,"unknown",NA,10338,"stretches of nnns (5.83% of overall sequence).","warn",2018-11-26,"amazonas",1027,2016, 2,2016,   5,   4,2016, 5,201605,"Zika"
"68","hzikav/brazil/am-fiocruz-06/2016","asian","epi_isl_18002995",2016-03-15,"south america / brazil / amazonas / manaus","human","original","plasma",NA,"unknown",NA, 9703,"stretches of nnns (12.32% of overall sequence).","warn",2018-11-26,"amazonas", 986,2016, 3,2016,  11,   3,2016,11,201611,"Zika"
"69","hzikav/brazil/am-fiocruz-09/2016","asian","epi_isl_18002996",2016-03-18,"south america / brazil / amazonas / manaus","human","original","plasma",NA,"unknown",NA,10338,"stretches of nnns (8.53% of overall sequence).","warn",2018-11-26,"amazonas", 983,2016, 3,2016,  11,   6,2016,11,201611,"Zika"
"70","hzikav/brazil/am-fiocruz-05/2016","asian","epi_isl_18002998",2016-03-10,"south america / brazil / amazonas / manaus","human","original","plasma",NA,"unknown",NA,10338,"stretches of nnns (15.83% of overall sequence).","warn",2018-11-26,"amazonas", 991,2016, 3,2016,  10,   5,2016,10,201610,"Zika"
"71","hzikav/brazil/am-fiocruz-043/2016","asian","epi_isl_18002999",2016-02-10,"south america / brazil / amazonas / manaus","human","original","serum",NA,"unknown",NA, 9421,"long stretches of nnns (35.16% of overall sequence). ns2b without blast coverage. partial ns5 gene sequence is reported.","alert",2018-11-26,"amazonas",1020,2016, 2,2016,   6,   4,2016, 6,201606,"Zika"
"72","hzikav/brazil/am-fiocruz-042/2016","asian","epi_isl_18003000",2016-02-10,"south america / brazil / amazonas / manaus","human","original","serum",NA,"unknown",NA, 9421,"stretches of nnns (8.52% of overall sequence). partial ns5 gene sequence is reported.","warn",2018-11-26,"amazonas",1020,2016, 2,2016,   6,   4,2016, 6,201606,"Zika"
"73","hzikav/brazil/am-fiocruz-045/2016","asian","epi_isl_18003001",2016-01-08,"south america / brazil / amazonas / manaus","human","original","serum",NA,"unknown",NA,10338,NA,NA,2018-11-26,"amazonas",1053,2016, 1,2016,   1,   6,2016, 1,201601,"Zika"
"74","hzikav/brazil/am-fiocruz-02/2016","asian","epi_isl_18003002",2016-02-19,"south america / brazil / amazonas / manaus","human","original","saliva",NA,"unknown",NA,10338,"stretches of nnns (8.60% of overall sequence).","warn",2018-11-26,"amazonas",1011,2016, 2,2016,   7,   6,2016, 7,201607,"Zika"
"75","hzikav/brazil/am-fiocruz-044/2016","asian","epi_isl_18003003",2016-01-29,"south america / brazil / amazonas / manaus","human","original","serum",NA,"unknown",NA, 9703,NA,NA,2018-11-26,"amazonas",1032,2016, 1,2016,   4,   6,2016, 4,201604,"Zika"
"76","hzikav/brazil/am-fiocruz-046/2016","asian","epi_isl_18003004",2016-02-10,"south america / brazil / amazonas / manaus","human","original","serum",NA,"unknown",NA, 9703,NA,NA,2018-11-26,"amazonas",1020,2016, 2,2016,   6,   4,2016, 6,201606,"Zika"
"77","hzikav/brazil/am-fiocruz-047/2016","asian","epi_isl_18003005",2016-02-02,"south america / brazil / amazonas / manaus","human","original","serum",NA,"unknown",NA, 9703,NA,NA,2018-11-26,"amazonas",1028,2016, 2,2016,   5,   3,2016, 5,201605,"Zika"
"78","hzikav/brazil/am-fiocruz-033/2016","asian","epi_isl_18003006",2016-02-19,"south america / brazil / amazonas / manaus","human","original","plasma",NA,"unknown",NA, 8821,"long stretches of nnns (34.74% of overall sequence). ns2b without blast coverage. partial ns5 gene sequence is reported.","alert",2018-11-26,"amazonas",1011,2016, 2,2016,   7,   6,2016, 7,201607,"Zika"
"79","hzikav/brazil/am-fiocruz-072/2017","asian","epi_isl_18003007",2017-03-20,"south america / brazil / amazonas / manaus","human","original","urine",NA,"unknown",NA, 6075,"long stretches of nnns (46.70% of overall sequence). prm without blast coverage. c without blast coverage. partial e gene sequence is reported. partial ns5 gene sequence is reported.","alert",2018-11-26,"amazonas", 616,2017, 3,2017,  12,   2,2017,12,201712,"Zika"
"80","hzikav/brazil/am-fiocruz-084/2017","asian","epi_isl_18003008",2017-03-27,"south america / brazil / amazonas / manaus","human","original","plasma",NA,"unknown",NA, 9132,"long stretches of nnns (27.41% of overall sequence). partial ns5 gene sequence is reported.","alert",2018-11-26,"amazonas", 609,2017, 3,2017,  13,   2,2017,13,201713,"Zika"
"81","hzikav/brazil/am-fiocruz-013/2016","asian","epi_isl_18003009",2016-04-01,"south america / brazil / amazonas / manaus","human","original","plasma",NA,"unknown",NA,10338,"stretches of nnns (16.30% of overall sequence). prm without blast coverage.","warn",2018-11-26,"amazonas", 969,2016, 4,2016,  13,   6,2016,13,201613,"Zika"
"82","hzikav/brazil/am-fiocruz-014/2016","asian","epi_isl_18003010",2016-04-06,"south america / brazil / amazonas / manaus","human","original","saliva",NA,"unknown",NA, 9703,"stretches of nnns (6.75% of overall sequence).","warn",2018-11-26,"amazonas", 964,2016, 4,2016,  14,   4,2016,14,201614,"Zika"
"83","hzikav/brazil/am-fiocruz-0302/2015","asian","epi_isl_18003011",2015-12-08,"south america / brazil / amazonas / manaus","human","original","serum",NA,"unknown",NA,10338,NA,NA,2018-11-26,"amazonas",1084,2015,12,2015,  49,   3,2015,49,201549,"Zika"
"84","hzikav/brazil/am-fiocruz-z02/2015","asian","epi_isl_18003012",2015-12-15,"south america / brazil / amazonas / manaus","human","original","serum",NA,"unknown",NA, 9421,"stretches of nnns (6.66% of overall sequence). partial ns5 gene sequence is reported.","warn",2018-11-26,"amazonas",1077,2015,12,2015,  50,   3,2015,50,201550,"Zika"
"85","hzikav/brazil/go-fiocruz-25/2016","asian","epi_isl_18003013",2016-03-31,"south america / brazil / goias / goiania","human","original","urine",NA,"unknown",NA,10385,"stretches of nnns (13.91% of overall sequence).","warn",2021-11-09,"goias",2049,2016, 3,2016,  13,   5,2016,13,201613,"Zika"
"86","hzikav/brazil/go-fiocruz-24/2016","asian","epi_isl_18003014",2016-04-01,"south america / brazil / goias / goiania","human","original","urine",NA,"unknown",NA,10386,"long stretches of nnns (27.00% of overall sequence). 2k without blast coverage. ns4a without blast coverage. ns2b without blast coverage.","alert",2021-11-09,"goias",2048,2016, 4,2016,  13,   6,2016,13,201613,"Zika"
"87","hzikav/brazil/go-fiocruz-28/2016","asian","epi_isl_18003015",2016-04-24,"south america / brazil / goias / goiania","human","original","serum",NA,"unknown",NA,10388,NA,NA,2021-11-09,"goias",2025,2016, 4,2016,  17,   1,2016,17,201617,"Zika"
"88","hzikav/brazil/go-fiocruz-31/2016","asian","epi_isl_18003016",2016-02-22,"south america / brazil / goias / goiania","human","original","serum",NA,"unknown",NA,10386,"stretches of nnns (14.47% of overall sequence).","warn",2021-11-09,"goias",2087,2016, 2,2016,   8,   2,2016, 8,201608,"Zika"
"89","hzikav/brazil/go-fiocruz-36/2017","asian","epi_isl_18003017",2017-06-01,"south america / brazil / goias / inhumas","human","original","serum",NA,"unknown",NA,10385,NA,NA,2021-11-09,"goias",1622,2017, 6,2017,  22,   5,2017,22,201722,"Zika"
